MembersNo,Day,TimeSlot,PlayTime,PreferedGame,Gender,Age,UserType
204,1,2,3,4,1,36,3
205,3,4,2,4,2,21,1
206,2,3,5,2,1,19,1
207,2,1,2,4,1,22,2
208,1,2,5,3,1,30,3
209,3,3,3,2,1,31,3
210,1,2,3,1,1,32,3
211,2,2,1,4,1,28,3
212,1,3,3,3,2,24,1
213,2,3,4,1,1,19,1
214,3,4,4,2,1,16,1
215,1,3,2,3,1,28,3
216,3,4,1,4,1,30,3
217,3,3,3,2,2,28,2
218,2,4,5,1,2,21,1
219,2,2,6,3,1,17,1
220,2,4,4,3,2,16,1
221,3,3,3,4,1,33,3
222,3,3,2,1,1,42,3
223,2,1,2,2,2,21,2
224,2,2,3,3,1,29,3
225,3,4,4,1,1,18,1
226,2,3,4,2,1,15,1
227,1,2,3,4,1,36,3
228,3,4,2,4,2,21,1
229,2,3,5,2,1,19,1
230,2,1,2,4,1,22,2
231,1,2,5,3,1,30,3
232,3,3,3,2,1,31,3
233,1,2,3,1,1,32,3
234,1,1,5,1,1,22,1
235,2,2,4,4,2,13,3
236,3,3,5,2,1,27,1
237,1,4,2,4,2,35,3
238,2,4,3,3,1,26,1
239,3,3,4,1,1,39,1
240,1,3,2,1,2,42,2
241,2,2,5,4,1,51,3
242,3,3,2,3,1,33,1
243,1,2,4,2,2,28,1
244,2,3,6,4,2,24,3
245,3,2,6,3,1,19,1
246,3,2,4,4,1,18,1
247,2,2,2,1,2,15,3
248,1,3,2,1,1,36,2
249,2,3,4,1,1,21,1
250,3,3,3,3,1,19,1
251,2,2,5,1,1,26,1
